row,Games home manager,Wins home manager,Losses home manager,Games visiting manager,Wins visiting manager,Losses visiting manager
330,162.0,90.0,72.0,,,
331,162.0,77.0,85.0,161.0,71.0,90.0
332,,,,163.0,81.0,81.0
333,162.0,77.0,84.0,162.0,95.0,67.0
334,162.0,89.0,72.0,161.0,57.0,104.0
335,,,,18.0,6.0,12.0
336,162.0,101.0,61.0,,,
337,105.0,53.0,52.0,162.0,91.0,71.0
338,162.0,90.0,72.0,161.0,71.0,90.0
339,162.0,60.0,102.0,163.0,85.0,77.0
340,100.0,50.0,50.0,161.0,84.0,77.0
341,162.0,77.0,85.0,163.0,81.0,81.0
342,162.0,83.0,79.0,,,
343,161.0,57.0,104.0,162.0,75.0,87.0
344,162.0,77.0,84.0,,,
345,161.0,84.0,77.0,162.0,95.0,67.0
346,162.0,98.0,64.0,162.0,89.0,72.0
347,,,,,,
348,162.0,101.0,61.0,18.0,6.0,12.0
349,105.0,53.0,52.0,162.0,91.0,71.0
350,162.0,90.0,72.0,161.0,71.0,90.0
351,162.0,60.0,102.0,163.0,85.0,77.0
352,100.0,50.0,50.0,161.0,84.0,77.0
353,162.0,77.0,85.0,163.0,81.0,81.0
354,162.0,83.0,79.0,,,
355,129.0,53.0,76.0,,,
356,161.0,57.0,104.0,162.0,75.0,87.0
357,162.0,77.0,84.0,,,
358,161.0,84.0,77.0,162.0,95.0,67.0
359,162.0,98.0,64.0,162.0,89.0,72.0
360,,,,,,
361,162.0,101.0,61.0,18.0,6.0,12.0
362,105.0,53.0,52.0,162.0,91.0,71.0
363,162.0,90.0,72.0,161.0,71.0,90.0
364,162.0,60.0,102.0,163.0,85.0,77.0
365,100.0,50.0,50.0,161.0,84.0,77.0
366,162.0,77.0,85.0,163.0,81.0,81.0
367,162.0,83.0,79.0,,,
368,129.0,53.0,76.0,,,
369,129.0,53.0,76.0,,,
370,161.0,57.0,104.0,162.0,75.0,87.0
371,162.0,77.0,84.0,,,
372,161.0,84.0,77.0,162.0,95.0,67.0
373,162.0,98.0,64.0,162.0,89.0,72.0
374,,,,,,
375,162.0,101.0,61.0,18.0,6.0,12.0
376,105.0,53.0,52.0,163.0,85.0,77.0
377,162.0,90.0,72.0,163.0,81.0,81.0
378,162.0,91.0,71.0,161.0,84.0,77.0
379,100.0,50.0,50.0,,,
380,162.0,77.0,85.0,,,
381,162.0,83.0,79.0,161.0,71.0,90.0
382,,,,162.0,75.0,87.0
383,161.0,84.0,77.0,162.0,89.0,72.0
384,162.0,98.0,64.0,161.0,57.0,104.0
385,105.0,53.0,52.0,163.0,85.0,77.0
386,162.0,90.0,72.0,163.0,81.0,81.0
387,162.0,60.0,102.0,129.0,53.0,76.0
388,162.0,91.0,71.0,161.0,84.0,77.0
389,100.0,50.0,50.0,,,
390,162.0,77.0,85.0,,,
391,162.0,83.0,79.0,161.0,71.0,90.0
392,162.0,77.0,84.0,18.0,6.0,12.0
393,,,,162.0,75.0,87.0
394,161.0,84.0,77.0,162.0,89.0,72.0
395,162.0,98.0,64.0,161.0,57.0,104.0
396,,,,,,
397,162.0,101.0,61.0,162.0,95.0,67.0
398,105.0,53.0,52.0,100.0,50.0,50.0
399,162.0,90.0,72.0,163.0,81.0,81.0
400,161.0,84.0,77.0,129.0,53.0,76.0
401,162.0,91.0,71.0,162.0,60.0,102.0
402,,,,163.0,85.0,77.0
403,162.0,77.0,85.0,,,
404,162.0,83.0,79.0,161.0,71.0,90.0
405,162.0,77.0,84.0,18.0,6.0,12.0
406,,,,162.0,98.0,64.0
407,161.0,84.0,77.0,161.0,57.0,104.0
408,162.0,75.0,87.0,162.0,89.0,72.0
409,,,,,,
410,162.0,101.0,61.0,162.0,95.0,67.0
411,105.0,53.0,52.0,100.0,50.0,50.0
412,161.0,84.0,77.0,129.0,53.0,76.0
413,162.0,91.0,71.0,162.0,60.0,102.0
414,,,,163.0,85.0,77.0
415,,,,162.0,98.0,64.0
416,161.0,84.0,77.0,161.0,57.0,104.0
417,162.0,75.0,87.0,162.0,89.0,72.0
418,105.0,53.0,52.0,162.0,77.0,85.0
419,163.0,81.0,81.0,129.0,53.0,76.0
420,163.0,85.0,77.0,162.0,91.0,71.0
421,161.0,84.0,77.0,162.0,90.0,72.0
422,161.0,71.0,90.0,100.0,50.0,50.0
423,,,,162.0,83.0,79.0
424,,,,162.0,60.0,102.0
425,161.0,57.0,104.0,162.0,101.0,61.0
426,162.0,89.0,72.0,,,
427,,,,162.0,77.0,84.0
428,162.0,95.0,67.0,162.0,98.0,64.0
429,,,,161.0,84.0,77.0
430,18.0,6.0,12.0,162.0,75.0,87.0
431,105.0,53.0,52.0,162.0,77.0,85.0
432,163.0,81.0,81.0,129.0,53.0,76.0
433,163.0,85.0,77.0,162.0,91.0,71.0
434,161.0,84.0,77.0,162.0,90.0,72.0
435,161.0,71.0,90.0,100.0,50.0,50.0
436,,,,162.0,83.0,79.0
437,,,,162.0,60.0,102.0
438,161.0,57.0,104.0,162.0,101.0,61.0
439,162.0,89.0,72.0,,,
440,,,,162.0,77.0,84.0
441,162.0,95.0,67.0,162.0,98.0,64.0
442,,,,161.0,84.0,77.0
443,18.0,6.0,12.0,162.0,75.0,87.0
444,105.0,53.0,52.0,162.0,77.0,85.0
445,163.0,81.0,81.0,129.0,53.0,76.0
446,163.0,85.0,77.0,162.0,91.0,71.0
447,161.0,71.0,90.0,100.0,50.0,50.0
448,,,,162.0,83.0,79.0
449,,,,162.0,60.0,102.0
450,161.0,57.0,104.0,162.0,101.0,61.0
451,162.0,89.0,72.0,,,
452,,,,162.0,77.0,84.0
453,162.0,95.0,67.0,162.0,98.0,64.0
454,,,,161.0,84.0,77.0
455,18.0,6.0,12.0,162.0,75.0,87.0
456,163.0,81.0,81.0,100.0,50.0,50.0
457,129.0,53.0,76.0,162.0,91.0,71.0
458,,,,162.0,60.0,102.0
459,105.0,53.0,52.0,162.0,90.0,72.0
460,163.0,81.0,81.0,100.0,50.0,50.0
461,163.0,85.0,77.0,,,
462,161.0,84.0,77.0,162.0,83.0,79.0
463,161.0,71.0,90.0,162.0,60.0,102.0
464,,,,162.0,77.0,85.0
465,129.0,53.0,76.0,162.0,91.0,71.0
466,161.0,57.0,104.0,162.0,77.0,84.0
467,,,,,,
468,162.0,95.0,67.0,161.0,84.0,77.0
469,,,,162.0,75.0,87.0
470,18.0,6.0,12.0,162.0,98.0,64.0
471,162.0,101.0,61.0,162.0,89.0,72.0
472,105.0,53.0,52.0,162.0,90.0,72.0
473,163.0,81.0,81.0,100.0,50.0,50.0
474,163.0,85.0,77.0,,,
475,161.0,84.0,77.0,162.0,83.0,79.0
476,161.0,71.0,90.0,162.0,60.0,102.0
477,,,,162.0,77.0,85.0
478,129.0,53.0,76.0,162.0,91.0,71.0
479,161.0,57.0,104.0,162.0,77.0,84.0
480,,,,,,
481,162.0,95.0,67.0,161.0,84.0,77.0
482,,,,162.0,75.0,87.0
483,18.0,6.0,12.0,162.0,98.0,64.0
484,162.0,101.0,61.0,162.0,89.0,72.0
485,105.0,53.0,52.0,162.0,90.0,72.0
486,163.0,85.0,77.0,,,
487,161.0,84.0,77.0,162.0,83.0,79.0
488,161.0,71.0,90.0,162.0,60.0,102.0
489,,,,162.0,77.0,85.0
490,129.0,53.0,76.0,162.0,91.0,71.0
491,161.0,57.0,104.0,162.0,77.0,84.0
492,,,,,,
493,162.0,95.0,67.0,161.0,84.0,77.0
494,,,,162.0,75.0,87.0
495,18.0,6.0,12.0,162.0,98.0,64.0
496,162.0,101.0,61.0,162.0,89.0,72.0
497,162.0,60.0,102.0,,,
498,161.0,84.0,77.0,162.0,77.0,85.0
499,162.0,91.0,71.0,163.0,85.0,77.0
500,100.0,50.0,50.0,161.0,71.0,90.0
501,,,,162.0,90.0,72.0
502,162.0,83.0,79.0,105.0,53.0,52.0
503,129.0,53.0,76.0,163.0,81.0,81.0
504,162.0,77.0,84.0,,,
505,162.0,95.0,67.0,162.0,75.0,87.0
506,,,,162.0,89.0,72.0
507,,,,162.0,98.0,64.0
508,18.0,6.0,12.0,161.0,84.0,77.0
509,162.0,101.0,61.0,161.0,57.0,104.0
510,162.0,60.0,102.0,,,
511,161.0,84.0,77.0,162.0,77.0,85.0
512,162.0,91.0,71.0,163.0,85.0,77.0
513,100.0,50.0,50.0,161.0,71.0,90.0
514,,,,162.0,90.0,72.0
515,162.0,83.0,79.0,105.0,53.0,52.0
516,129.0,53.0,76.0,163.0,81.0,81.0
517,162.0,77.0,84.0,,,
518,162.0,95.0,67.0,162.0,75.0,87.0
519,,,,162.0,89.0,72.0
520,,,,162.0,98.0,64.0
521,18.0,6.0,12.0,161.0,84.0,77.0
522,162.0,101.0,61.0,161.0,57.0,104.0
523,162.0,60.0,102.0,,,
524,161.0,84.0,77.0,162.0,77.0,85.0
525,162.0,91.0,71.0,163.0,85.0,77.0
526,100.0,50.0,50.0,161.0,71.0,90.0
527,,,,162.0,90.0,72.0
528,162.0,83.0,79.0,105.0,53.0,52.0
529,129.0,53.0,76.0,163.0,81.0,81.0
530,162.0,77.0,84.0,,,
531,162.0,95.0,67.0,162.0,75.0,87.0
532,,,,162.0,89.0,72.0
533,,,,162.0,98.0,64.0
534,18.0,6.0,12.0,161.0,84.0,77.0
535,162.0,101.0,61.0,161.0,57.0,104.0
536,162.0,60.0,102.0,163.0,81.0,81.0
537,161.0,84.0,77.0,162.0,77.0,85.0
538,162.0,91.0,71.0,161.0,71.0,90.0
539,100.0,50.0,50.0,,,
540,,,,162.0,90.0,72.0
541,162.0,83.0,79.0,105.0,53.0,52.0
542,129.0,53.0,76.0,163.0,85.0,77.0
543,162.0,77.0,84.0,162.0,89.0,72.0
544,161.0,84.0,77.0,,,
545,,,,161.0,57.0,104.0
546,162.0,101.0,61.0,,,
547,162.0,60.0,102.0,163.0,81.0,81.0
548,162.0,91.0,71.0,161.0,71.0,90.0
549,100.0,50.0,50.0,,,
550,129.0,53.0,76.0,163.0,85.0,77.0
551,162.0,77.0,84.0,162.0,89.0,72.0
552,161.0,84.0,77.0,,,
553,162.0,98.0,64.0,162.0,95.0,67.0
554,162.0,75.0,87.0,18.0,6.0,12.0
555,,,,161.0,57.0,104.0
556,162.0,101.0,61.0,,,
