playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
braulst01,2017,1,PIT,NL,1,0,11,4,0,0,1,104,41,18,3,14,23,0.287,4.67,1,0,2,0,162,2,21,2,1,2
brebbjo01,2017,1,SLN,NL,0,0,50,0,0,0,0,155,37,14,8,11,51,0.193,2.44,3,2,5,0,209,13,15,1,0,0
breslcr01,2017,1,MIN,AL,1,1,30,0,0,0,0,93,38,18,4,12,18,0.306,5.23,2,1,2,0,143,8,19,1,4,1
breslcr01,2017,2,CLE,AL,0,0,7,0,0,0,0,13,3,2,0,2,5,0.214,4.15,0,0,0,0,16,1,2,0,0,1
briceau01,2017,1,CIN,NL,0,0,22,0,0,0,0,98,33,18,6,7,26,0.264,4.96,0,0,3,0,137,4,18,1,1,3
bridwpa01,2017,1,LAA,AL,10,3,21,20,0,0,0,363,115,49,19,30,73,0.252,3.64,0,4,4,0,492,0,52,0,2,9
brittza01,2017,1,BAL,AL,2,1,38,0,0,0,15,112,39,12,1,18,29,0.277,2.89,1,4,0,0,161,30,12,1,1,7
brothre01,2017,1,ATL,NL,4,3,27,0,0,0,0,71,23,19,3,12,33,0.250,7.23,3,2,1,0,105,8,19,0,0,2
broxtjo01,2017,1,SLN,NL,0,1,20,0,0,0,0,47,23,12,2,11,16,0.371,6.89,2,1,0,0,78,8,12,3,2,2
buchaja01,2017,1,CIN,NL,0,0,5,0,0,0,0,43,24,13,1,7,4,0.375,8.16,2,0,3,0,77,3,13,2,1,0
buchhcl01,2017,1,PHI,NL,0,1,2,2,0,0,0,22,16,10,1,3,5,0.457,12.27,0,0,0,0,40,0,10,0,2,1
buchtry01,2017,1,SDN,NL,3,3,42,0,0,0,1,115,28,13,7,18,47,0.199,3.05,0,0,1,1,161,5,15,0,1,1
buchtry01,2017,2,KCA,AL,1,0,29,0,0,0,0,81,16,8,3,8,18,0.170,2.67,1,0,3,0,107,7,10,0,2,2
buehlwa01,2017,1,LAN,NL,1,0,8,0,0,0,0,28,11,8,2,8,12,0.306,7.71,1,1,0,0,44,2,8,0,0,3
bumgama01,2017,1,SFN,NL,4,9,17,17,1,0,0,333,101,41,17,20,101,0.238,3.32,3,0,3,0,450,0,41,2,1,6
bummeaa01,2017,1,CHA,AL,1,3,30,0,0,0,0,66,13,11,4,15,17,0.178,4.50,1,1,1,0,91,3,11,1,1,2
bundydy01,2017,1,BAL,AL,13,9,28,28,1,1,0,509,152,80,26,51,152,0.240,4.24,0,0,7,0,698,0,82,0,7,18
busenal01,2017,1,MIN,AL,1,1,28,0,0,0,0,95,22,7,4,9,23,0.206,1.99,0,2,0,0,121,10,9,0,5,3
bushma01,2017,1,TEX,AL,3,4,57,0,0,0,10,157,57,22,7,19,58,0.264,3.78,0,2,4,0,240,22,30,0,1,2
butleed01,2017,1,CHN,NL,4,3,13,11,0,0,0,164,50,24,4,28,30,0.244,3.95,2,3,2,0,237,2,24,1,1,4
cahiltr01,2017,1,SDN,NL,4,3,11,11,0,0,0,183,58,25,6,24,72,0.247,3.69,1,14,3,0,263,0,29,1,0,5
cahiltr01,2017,2,KCA,AL,0,0,10,3,0,0,0,69,33,21,10,21,15,0.344,8.22,0,2,0,0,118,1,21,1,0,4
cainma01,2017,1,SFN,NL,3,11,27,23,0,0,0,373,157,75,18,49,75,0.310,5.43,6,3,2,0,568,1,85,3,6,13
callaja01,2017,1,NYN,NL,0,0,9,0,0,0,0,20,7,3,0,1,5,0.250,4.05,0,0,0,0,30,5,4,0,1,0
campole01,2017,1,TOR,AL,0,0,13,0,0,0,0,41,11,4,2,8,15,0.216,2.63,0,1,1,0,60,6,6,0,0,2
cappsca01,2017,1,SDN,NL,0,0,11,0,0,0,0,37,12,9,2,2,7,0.261,6.57,0,1,0,0,49,6,9,0,1,0
carlesh01,2017,1,COL,NL,0,0,3,0,0,0,0,12,6,3,1,0,4,0.316,6.75,0,1,0,0,19,3,3,0,0,0
carraca01,2017,1,CLE,AL,18,6,32,32,1,0,0,600,173,73,21,46,226,0.235,3.29,2,10,10,0,798,0,73,1,6,19
cashnan01,2017,1,TEX,AL,11,11,28,28,0,0,0,500,156,63,15,64,86,0.250,3.40,0,10,9,1,704,0,75,2,5,23
castifa01,2017,1,LAN,NL,0,0,2,0,0,0,0,4,3,2,0,1,2,0.429,13.50,0,1,0,0,8,0,2,0,0,0
castilu02,2017,1,CIN,NL,3,7,15,15,0,0,0,268,64,31,11,32,98,0.202,3.12,1,2,3,1,359,0,32,4,3,5
castrmi01,2017,1,BAL,AL,3,3,39,1,0,0,0,199,53,26,8,28,38,0.224,3.53,4,2,2,0,274,8,29,3,4,8
castrsi01,2017,1,OAK,AL,1,3,26,0,0,0,0,111,32,18,7,14,35,0.235,4.38,0,1,2,0,153,7,20,0,1,3
cecilbr01,2017,1,SLN,NL,2,4,73,0,0,0,1,202,67,29,7,16,66,0.262,3.88,3,3,0,0,277,12,31,0,5,5
cedenxa01,2017,1,TBA,AL,1,1,9,0,0,0,0,9,7,4,3,4,0,0.438,12.00,1,0,0,0,21,0,5,1,0,0
cervehu01,2017,1,MIA,NL,0,0,5,0,0,0,0,14,1,8,0,8,6,0.083,15.43,0,1,2,0,24,0,8,1,1,1
cessalu01,2017,1,NYA,AL,0,3,10,5,0,0,0,108,36,19,7,17,30,0.257,4.75,0,2,3,0,160,2,21,0,0,2
chacial01,2017,1,CIN,NL,0,0,6,0,0,0,0,18,11,7,2,4,6,0.393,10.50,0,0,0,0,32,3,7,0,0,1
chacijh01,2017,1,SDN,NL,13,10,32,32,0,0,0,541,157,78,19,72,153,0.235,3.89,5,7,14,1,765,0,82,6,6,16
chafian01,2017,1,ARI,NL,1,0,71,0,0,0,0,154,48,20,5,21,61,0.246,3.51,3,1,2,1,221,12,21,2,1,3
chapmar01,2017,1,NYA,AL,4,3,52,0,0,0,22,151,37,18,3,20,69,0.200,3.22,2,5,3,0,210,42,20,0,1,1
chatwty01,2017,1,COL,NL,8,15,33,25,1,1,1,443,136,77,20,77,120,0.250,4.69,2,12,4,2,631,3,79,4,3,23
chaveje01,2017,1,LAA,AL,7,11,38,21,0,0,0,414,148,82,28,45,119,0.276,5.35,2,1,2,0,586,6,83,0,2,12
chenwe02,2017,1,MIA,NL,2,1,9,5,0,0,0,99,25,14,3,9,25,0.207,3.82,0,1,1,0,132,1,14,0,1,1
cingrto01,2017,1,CIN,NL,0,0,25,0,0,0,0,70,25,14,9,6,24,0.272,5.40,0,1,1,0,99,7,14,0,0,1
cingrto01,2017,2,LAN,NL,0,0,22,0,0,0,0,58,15,6,1,6,28,0.214,2.79,0,3,0,0,77,8,8,1,0,1
cishest01,2017,1,SEA,AL,1,1,23,0,0,0,1,60,13,7,3,7,15,0.183,3.15,1,1,1,1,80,8,7,0,1,3
cishest01,2017,2,TBA,AL,2,1,26,0,0,0,0,74,13,3,0,7,26,0.153,1.09,0,2,2,0,94,3,3,0,0,3
claibpr01,2017,1,TEX,AL,0,0,1,0,0,0,0,6,5,3,0,0,2,0.500,13.50,0,0,0,0,10,1,3,0,0,1
claudal01,2017,1,TEX,AL,4,2,70,1,0,0,11,248,71,23,5,15,56,0.235,2.50,4,0,2,3,323,38,26,1,3,12
clevimi01,2017,1,CLE,AL,12,6,27,21,0,0,0,365,92,42,13,60,137,0.211,3.11,2,3,3,0,502,1,46,1,0,8
clippty01,2017,1,NYA,AL,1,5,40,0,0,0,1,109,28,20,7,19,42,0.209,4.95,1,5,1,0,158,7,21,3,1,0
clippty01,2017,2,CHA,AL,1,1,11,0,0,0,2,30,8,2,0,5,12,0.211,1.80,0,3,0,0,44,7,2,0,1,0
clippty01,2017,3,HOU,AL,0,2,16,0,0,0,2,42,11,10,3,7,18,0.208,6.43,0,3,1,0,62,9,10,0,1,1
cloydty01,2017,1,SEA,AL,1,0,1,0,0,0,0,3,2,0,0,0,1,0.500,0.00,0,0,0,0,4,0,0,0,0,0
cobbal01,2017,1,TBA,AL,12,10,29,29,0,0,0,538,175,73,22,44,128,0.254,3.66,2,8,6,1,742,0,78,2,1,16
coleaj01,2017,1,WAS,NL,3,5,11,8,0,0,0,156,51,22,8,27,44,0.262,3.81,0,2,3,1,229,0,23,3,1,3
colege01,2017,1,PIT,NL,12,12,33,33,0,0,0,609,199,96,31,55,196,0.254,4.26,1,7,4,0,849,0,98,5,1,16
coleta01,2017,1,TOR,AL,0,0,1,0,0,0,0,3,6,4,0,1,1,0.750,36.00,0,0,1,0,10,0,4,0,0,0
