playerID,yearID,stint,teamID,lgID,POS,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
bostich01,2017,1,PIT,NL,OF,3,1,39,4,0,0,0,,,,,
bourjpe01,2017,1,TBA,AL,OF,86,46,1428,119,3,0,0,,,,,
bourju01,2017,1,MIA,NL,1B,102,100,2587,757,51,1,84,,,,,
bowmama01,2017,1,SLN,NL,P,75,0,176,5,14,1,0,,,,,
boxbebr01,2017,1,TBA,AL,P,30,0,88,5,5,0,0,,,,,
boydma01,2017,1,DET,AL,P,26,25,405,3,15,2,0,,,,,
boyerbl01,2017,1,BOS,AL,P,32,0,124,1,0,0,0,,,,,
brachbr01,2017,1,BAL,AL,P,67,0,204,7,8,0,2,,,,,
brachsi01,2017,1,ARI,NL,P,21,0,62,2,3,0,0,,,,,
bradfch02,2017,1,NYN,NL,P,28,0,101,1,5,0,0,,,,,
bradlar01,2017,1,ARI,NL,P,63,0,219,3,9,1,1,,,,,
bradlja02,2017,1,BOS,AL,OF,132,131,3613,300,6,4,1,,,,,
bradymi01,2017,1,OAK,AL,P,16,0,95,0,3,0,1,,,,,
brantmi02,2017,1,CLE,AL,OF,87,86,2193,135,8,1,1,,,,,
brantro01,2017,1,CHA,AL,C,6,5,126,23,1,0,0,0,,4,1,
brantro01,2017,1,CHA,AL,P,1,0,3,1,1,0,0,,,,,
braulst01,2017,1,PIT,NL,P,11,4,104,3,10,0,1,,,,,
braunry02,2017,1,MIL,NL,OF,95,95,2395,146,7,2,0,,,,,
brebbjo01,2017,1,SLN,NL,P,50,0,155,1,5,0,0,,,,,
bregmal01,2017,1,HOU,AL,2B,4,0,27,0,5,0,2,,,,,
bregmal01,2017,1,HOU,AL,3B,132,127,3278,86,241,10,28,,,,,
bregmal01,2017,1,HOU,AL,SS,30,21,644,31,58,4,14,,,,,
breslcr01,2017,1,MIN,AL,P,30,0,93,0,2,0,0,,,,,
breslcr01,2017,2,CLE,AL,P,7,0,13,0,0,0,0,,,,,
briceau01,2017,1,CIN,NL,P,22,0,98,4,1,0,0,,,,,
