yearID,playerID,Games,Wins,Losses
1993,rigglji99,162,61,101
1993,bakerdu01,162,103,59
1993,torrejo01,162,87,75
1994,oatesjo01,112,63,49
1994,hobsobu01,115,54,61
1994,rodgebu01,40,16,24
1994,lachema01,75,31,44
1994,lamonge01,113,67,46
1994,hargrmi01,113,66,47
1994,andersp01,115,53,62
1994,mcraeha01,115,64,51
1994,kellyto01,113,53,60
1994,garneph01,115,53,62
1994,showabu99,113,70,43
1994,larusto01,114,51,63
1994,pinielo01,112,49,63
1994,kenneke99,114,52,62
1994,gastoci01,115,55,60
1994,coxbo01,114,68,46
1994,trebeto99,113,49,64
1994,johnsda02,115,66,48
1994,baylodo01,117,53,64
1994,lachere01,115,51,64
1994,collite99,115,66,49
1994,lasorto01,115,58,56
1994,aloufe01,114,74,40
1994,greenda02,113,55,58
1994,fregoji01,115,54,61
1994,leylaji99,114,53,61
1994,rigglji99,117,47,70
1994,bakerdu01,115,55,60
1994,torrejo01,115,53,61
1995,reganph01,144,71,73
1995,kenneke99,144,86,58
1995,lachema01,145,78,67
1995,lamonge01,31,11,20
1995,bevinte99,113,57,56
1995,hargrmi01,144,100,44
1995,andersp01,144,60,84
1995,boonebo01,144,70,74
1995,kellyto01,144,56,88
1995,garneph01,144,65,79
1995,showabu99,145,79,65
1995,larusto01,144,67,77
1995,pinielo01,145,79,66
1995,oatesjo01,144,74,70
1995,gastoci01,144,56,88
1995,coxbo01,144,90,54
1995,rigglji99,144,73,71
1995,johnsda02,144,85,59
1995,baylodo01,144,77,67
1995,lachere01,143,67,76
1995,collite99,144,76,68
1995,lasorto01,144,78,66
1995,aloufe01,144,66,78
1995,greenda02,144,69,75
1995,fregoji01,144,69,75
1995,leylaji99,144,58,86
1995,bochybr01,144,70,74
1995,bakerdu01,144,67,77
1995,torrejo01,47,20,27
1995,jorgemi01,96,42,54
1996,johnsda02,164,88,74
1996,kenneke99,162,85,77
1996,lachema01,111,52,59
1996,mcnamjo99,28,10,18
1996,maddojo99,22,8,14
1996,bevinte99,163,85,77
1996,hargrmi01,161,99,62
1996,bellbu01,162,53,109
1996,boonebo01,161,75,86
1996,kellyto01,162,78,84
1996,garneph01,163,80,82
1996,torrejo01,162,92,70
1996,howear01,162,78,84
1996,pinielo01,161,85,76
1996,oatesjo01,163,90,72
1996,gastoci01,162,74,88
1996,coxbo01,162,96,66
1996,rigglji99,163,76,86
1996,knighra01,162,81,81
1996,baylodo01,163,83,79
1996,lachere01,86,39,47
1996,rojasco01,1,1,0
1996,bolesjo99,75,40,35
1996,collite99,162,82,80
1996,lasorto01,76,41,35
1996,russebi01,86,49,37
1996,aloufe01,162,88,74
1996,greenda02,131,59,72
1996,valenbo02,31,12,19
1996,fregoji01,162,67,95
1996,leylaji99,162,73,89
1996,bochybr01,162,91,71
1996,bakerdu01,162,68,94
1996,larusto01,162,88,74
1997,collite99,162,84,78
1997,johnsda02,162,98,64
1997,williji03,162,78,84
1997,bevinte99,161,80,81
1997,hargrmi01,161,86,75
1997,bellbu01,162,79,83
1997,boonebo01,82,36,46
1997,muserto01,79,31,48
1997,kellyto01,162,68,94
1997,garneph01,161,78,83
1997,torrejo01,162,96,66
1997,howear01,162,65,97
1997,pinielo01,162,90,72
1997,oatesjo01,162,77,85
1997,gastoci01,157,72,85
1997,queenme02,5,4,1
1997,coxbo01,162,101,61
1997,rigglji99,162,68,94
1997,knighra01,99,43,56
1997,mckeoja99,63,33,30
1997,baylodo01,162,83,79
1997,leylaji99,162,92,70
1997,dierkla01,162,84,78
1997,russebi01,162,88,74
1997,aloufe01,162,78,84
1997,valenbo02,162,88,74
1997,francte01,162,68,94
1997,lamonge01,162,79,83
1997,bochybr01,162,76,86
1997,bakerdu01,162,90,72
1997,larusto01,162,73,89
1998,collite99,162,85,77
1998,millera99,162,79,83
1998,williji03,162,92,70
1998,manueje01,162,80,82
1998,hargrmi01,162,89,73
1998,bellbu01,137,52,85
1998,parrila01,25,13,12
1998,muserto01,161,72,89
1998,kellyto01,162,70,92
1998,torrejo01,162,114,48
1998,howear01,162,74,88
1998,pinielo01,161,76,85
1998,rothsla01,162,63,99
1998,oatesjo01,162,88,74
1998,johnsti01,162,88,74
1998,showabu99,162,65,97
1998,coxbo01,162,106,56
1998,rigglji99,163,90,73
1998,mckeoja99,162,77,85
1998,baylodo01,162,77,85
1998,leylaji99,162,54,108
1998,dierkla01,162,102,60
1998,russebi01,74,36,38
1998,hoffmgl01,88,47,41
1998,garneph01,162,74,88
1998,aloufe01,162,65,97
1998,valenbo02,162,88,74
1998,francte01,162,75,87
1998,lamonge01,162,69,93
1998,bochybr01,162,98,64
1998,bakerdu01,163,89,74
1998,larusto01,162,83,79
1999,collite99,133,51,82
1999,maddojo99,29,19,10
1999,millera99,162,78,84
1999,williji03,162,94,68
1999,manueje01,161,75,86
1999,hargrmi01,162,97,65
1999,parrila01,161,69,92
1999,muserto01,161,64,97
1999,kellyto01,162,63,97
1999,torrejo01,162,98,64
1999,howear01,162,87,75
1999,pinielo01,162,79,83
1999,rothsla01,162,69,93
1999,oatesjo01,162,95,67
1999,fregoji01,162,84,78
1999,showabu99,162,100,62
1999,coxbo01,162,103,59
1999,rigglji99,162,67,95
1999,mckeoja99,163,96,67
1999,leylaji99,162,72,90
1999,bolesjo99,162,64,98
1999,dierkla01,61,38,23
1999,galanma99,27,13,14
1999,dierkla01,74,46,28
1999,johnsda02,162,77,85
1999,garneph01,112,52,60
1999,lefebji01,49,22,27
1999,aloufe01,162,68,94
1999,valenbo02,163,97,66
1999,francte01,162,77,85
1999,lamonge01,161,78,83
1999,bochybr01,162,74,88
1999,bakerdu01,162,86,76
1999,larusto01,161,75,86
2000,sciosmi01,162,82,80
2000,hargrmi01,162,74,88
2000,williji03,162,85,77
2000,manueje01,162,95,67
2000,manuech01,162,90,72
2000,garneph01,162,79,83
2000,muserto01,162,77,85
2000,kellyto01,162,69,93
2000,torrejo01,161,87,74
2000,howear01,161,91,70
2000,pinielo01,162,91,71
2000,rothsla01,161,69,92
2000,oatesjo01,162,71,91
2000,fregoji01,162,83,79
2000,showabu99,162,85,77
2000,coxbo01,162,95,67
2000,baylodo01,162,65,97
2000,mckeoja99,163,85,77
2000,bellbu01,162,82,80
2000,bolesjo99,161,79,82
2000,dierkla01,162,72,90
2000,johnsda02,162,86,76
2000,lopesda01,163,73,89
2000,aloufe01,162,67,95
2000,valenbo02,162,94,68
2000,francte01,162,65,97
2000,lamonge01,162,69,93
