yearID,teamID,Division,Rank,Games,Wins,Losses,Division winner,League winner,World series winner,Runs scored,At bats,Hits by batters,Doubles,Triples,Homeruns,Walks,Strikeouts,Stolen bases,Cought stealing,Batters hit by pitch,Sacrifice flies,Opponents runs scored,Earned runs allowed,Earned runs average,Shutouts,Saves,Hits allowed,Homeruns allowed,Walks allowed,Strikeouts allowed,Errors,Double plays,Fielding percentage
1987,KCA,W,2,162,83,79,N,N,N,715,5499,1443,239,40,168,523.0,1034.0,125.0,43.0,30.0,42.0,691,610,3.86,11,26,1424,128,548,923,131,151,0.9790000000000001
1987,LAN,W,4,162,73,89,N,N,N,635,5517,1389,236,23,125,445.0,923.0,128.0,59.0,31.0,39.0,675,601,3.72,8,32,1415,130,565,1097,155,144,0.975
1987,MIN,W,1,162,85,77,Y,Y,Y,786,5441,1422,258,35,196,523.0,898.0,113.0,65.0,38.0,39.0,806,734,4.63,4,39,1465,210,564,990,98,147,0.9840000000000001
1987,MIL,E,3,162,91,71,N,N,N,862,5625,1552,272,46,163,598.0,1040.0,176.0,74.0,32.0,50.0,817,752,4.62,6,45,1548,169,529,1039,145,155,0.976
1987,MON,E,3,162,91,71,N,N,N,741,5527,1467,310,39,120,501.0,918.0,166.0,74.0,35.0,42.0,720,631,3.92,8,50,1428,145,446,1012,147,122,0.976
1987,NYA,E,4,162,89,73,N,N,N,788,5511,1445,239,16,196,604.0,949.0,105.0,43.0,28.0,38.0,758,700,4.36,10,47,1475,179,542,900,102,155,0.983
1987,NYN,E,2,162,92,70,N,N,N,823,5601,1499,287,34,192,592.0,1012.0,159.0,49.0,31.0,39.0,698,621,3.84,7,51,1407,135,510,1032,137,137,0.978
1987,OAK,W,3,162,81,81,N,N,N,806,5511,1432,263,33,199,593.0,1056.0,140.0,63.0,36.0,48.0,789,694,4.32,6,40,1442,176,531,1042,142,122,0.977
1987,PHI,E,4,162,80,82,N,N,N,702,5475,1390,248,51,169,587.0,1109.0,111.0,49.0,25.0,40.0,749,673,4.18,7,48,1453,167,587,877,121,137,0.98
1987,PIT,E,4,162,80,82,N,N,N,723,5536,1464,282,45,131,535.0,914.0,140.0,58.0,29.0,51.0,744,674,4.2,13,39,1377,164,562,914,123,147,0.98
1987,SDN,W,6,162,65,97,N,N,N,668,5456,1419,209,48,113,577.0,992.0,198.0,91.0,27.0,36.0,763,680,4.27,10,33,1402,175,602,897,147,135,0.976
1987,SEA,W,4,162,78,84,N,N,N,760,5508,1499,282,48,161,500.0,863.0,174.0,73.0,43.0,50.0,801,713,4.49,10,33,1503,199,497,919,122,150,0.98
1987,SFN,W,1,162,90,72,Y,N,N,783,5608,1458,274,32,205,511.0,1094.0,126.0,97.0,39.0,35.0,669,601,3.68,10,38,1407,146,547,1038,129,183,0.98
1987,SLN,E,1,162,95,67,Y,Y,N,798,5500,1449,252,49,94,644.0,933.0,248.0,72.0,18.0,51.0,693,637,3.91,7,48,1484,129,533,873,116,172,0.982
1987,TEX,W,6,162,75,87,N,N,N,823,5564,1478,264,35,194,567.0,1081.0,120.0,71.0,24.0,51.0,849,743,4.63,3,27,1388,199,760,1103,151,148,0.976
1987,TOR,E,2,162,96,66,N,N,N,845,5635,1514,277,38,215,555.0,970.0,126.0,50.0,38.0,35.0,655,605,3.74,8,43,1323,158,567,1064,111,148,0.982
1988,ATL,W,6,160,54,106,N,N,N,555,5440,1319,228,28,96,432.0,848.0,95.0,69.0,21.0,46.0,741,657,4.09,4,25,1481,108,524,810,151,138,0.976
1988,BAL,E,7,161,54,107,N,N,N,550,5358,1275,199,20,137,504.0,869.0,69.0,44.0,32.0,45.0,789,714,4.54,7,26,1506,153,523,709,119,172,0.98
1988,BOS,E,1,162,89,73,Y,N,N,813,5545,1569,310,39,124,623.0,728.0,65.0,36.0,45.0,55.0,689,629,3.97,14,37,1415,143,493,1085,93,123,0.9840000000000001
1988,CAL,W,4,162,75,87,N,N,N,714,5582,1458,258,31,124,469.0,819.0,86.0,52.0,49.0,52.0,771,698,4.32,9,33,1503,135,568,817,135,175,0.9790000000000001
1988,CHA,W,5,161,71,90,N,N,N,631,5449,1327,224,35,132,446.0,908.0,98.0,46.0,34.0,43.0,757,659,4.12,9,43,1467,138,533,754,154,177,0.976
1988,CHN,E,4,163,77,85,N,N,N,660,5675,1481,262,46,113,403.0,910.0,120.0,46.0,21.0,46.0,694,625,3.84,10,29,1494,115,490,897,125,128,0.98
1988,CIN,W,2,161,87,74,N,N,N,641,5426,1334,246,25,122,479.0,922.0,207.0,56.0,37.0,51.0,596,541,3.35,13,43,1271,121,504,934,125,131,0.98
1988,CLE,E,6,162,78,84,N,N,N,666,5505,1435,235,28,134,416.0,866.0,97.0,50.0,37.0,51.0,731,663,4.16,10,46,1501,120,442,812,124,131,0.98
1988,DET,E,2,162,88,74,N,N,N,703,5433,1358,213,28,143,588.0,841.0,87.0,42.0,29.0,37.0,658,596,3.71,8,36,1361,150,497,890,109,129,0.982
1988,HOU,W,5,162,82,80,N,N,N,617,5494,1338,239,31,96,474.0,840.0,198.0,71.0,38.0,44.0,631,558,3.41,15,40,1339,123,478,1049,138,124,0.978
1988,KCA,W,3,161,84,77,N,N,N,704,5469,1419,275,40,121,486.0,944.0,137.0,54.0,33.0,51.0,648,580,3.65,12,32,1415,102,465,886,124,147,0.98
1988,LAN,W,1,162,94,67,Y,Y,Y,628,5431,1346,217,25,99,437.0,947.0,131.0,46.0,32.0,50.0,544,482,2.96,24,49,1291,84,473,1029,142,126,0.977
1988,MIN,W,2,162,91,71,N,N,N,759,5510,1508,294,31,151,528.0,832.0,107.0,63.0,55.0,50.0,672,625,3.93,9,52,1457,146,453,897,84,155,0.986
1988,MIL,E,3,162,87,75,N,N,N,682,5488,1409,258,26,113,439.0,911.0,159.0,55.0,37.0,41.0,616,555,3.45,8,51,1355,125,437,832,120,146,0.981
1988,MON,E,3,163,81,81,N,N,N,628,5573,1400,260,48,107,454.0,1053.0,189.0,89.0,32.0,44.0,592,508,3.08,12,43,1310,122,476,923,142,145,0.978
1988,NYA,E,5,161,85,76,N,N,N,772,5592,1469,272,12,148,588.0,935.0,146.0,39.0,30.0,51.0,748,689,4.26,5,43,1512,157,487,861,134,161,0.978
1988,NYN,E,1,160,100,60,Y,N,N,703,5408,1387,251,24,152,544.0,842.0,140.0,51.0,32.0,56.0,532,465,2.91,22,46,1253,78,404,1100,115,127,0.981
1988,OAK,W,1,162,104,58,Y,Y,N,800,5602,1474,251,22,156,580.0,926.0,129.0,54.0,65.0,55.0,620,569,3.44,9,64,1376,116,553,983,105,151,0.983
1988,PHI,E,6,162,65,96,N,N,N,597,5403,1294,246,31,106,489.0,981.0,112.0,49.0,47.0,48.0,734,659,4.14,6,36,1447,118,628,859,145,139,0.976
1988,PIT,E,2,160,85,75,N,N,N,651,5379,1327,240,45,110,553.0,947.0,119.0,60.0,32.0,60.0,616,555,3.47,11,46,1349,108,469,790,125,128,0.98
1988,SDN,W,3,161,83,78,N,N,N,594,5366,1325,205,35,94,494.0,892.0,123.0,50.0,21.0,45.0,583,528,3.28,9,39,1332,112,439,885,120,147,0.981
1988,SEA,W,7,161,68,93,N,N,N,664,5436,1397,271,27,148,461.0,787.0,95.0,61.0,38.0,42.0,744,659,4.15,11,28,1385,144,558,981,123,168,0.98
1988,SFN,W,4,162,83,79,N,N,N,670,5450,1353,227,44,113,550.0,1023.0,121.0,78.0,33.0,51.0,626,550,3.39,13,42,1323,99,422,875,129,145,0.98
1988,SLN,E,5,162,76,86,N,N,N,578,5518,1373,207,33,71,484.0,827.0,234.0,64.0,22.0,48.0,633,567,3.47,14,42,1387,91,486,881,121,131,0.981
1988,TEX,W,6,161,70,91,N,N,N,637,5479,1378,227,39,112,542.0,1022.0,130.0,57.0,35.0,53.0,735,647,4.05,11,31,1310,129,654,912,131,145,0.9790000000000001
1988,TOR,E,3,162,87,75,N,N,N,763,5557,1491,271,47,158,521.0,935.0,107.0,36.0,31.0,50.0,680,611,3.8,17,47,1404,143,528,904,110,170,0.982
1989,ATL,W,6,161,63,97,N,N,N,584,5463,1281,201,22,128,485.0,996.0,83.0,54.0,24.0,42.0,680,595,3.7,8,33,1370,114,468,966,152,124,0.976
1989,BAL,E,2,162,87,75,N,N,N,708,5440,1369,238,33,129,593.0,957.0,118.0,55.0,30.0,47.0,686,644,4.0,7,44,1518,134,486,676,87,163,0.986
1989,BOS,E,3,162,83,79,N,N,N,774,5666,1571,326,30,108,643.0,755.0,56.0,35.0,36.0,58.0,735,650,4.01,9,42,1448,131,548,1054,127,162,0.98
1989,CAL,W,3,162,91,71,N,N,N,669,5545,1422,208,37,145,429.0,1011.0,89.0,40.0,28.0,46.0,578,530,3.28,20,38,1384,113,465,897,96,173,0.985
1989,CHA,W,7,161,69,92,N,N,N,693,5504,1493,262,36,94,464.0,873.0,97.0,52.0,28.0,51.0,750,668,4.23,5,46,1472,144,539,778,151,176,0.975
